"","x"
"9777","how is it possible that someone is drunk they bring a wheelchair for them but you keep serving them"
"9778","your service at phl is abysmal an hour on the runway waiting for a gate no information anywhere missed my connection abysmal"
"9779","worst customer service ever how can you let people be assaulted on your flights and do nothing about it"
"9780","not providing pilots for your flights is this a new feature of your merger"
"9781","do you know what flight the pilots for are coming in on thanks"
"9782","so i guess you are ok with people being sexually assaulted on your flights nice customer service"
"9783","please help need our plane to wait to go to on tarmac over an hr baggage tookand still not here thru customs"
"9784","usair has returned to phl due to issues with the fire detectors what happens next"
"9785","ur specialist said they would talk to the stewardess about not serving drunks drinks really how does that help"
"9786","what is wrong in boston why are only your plains not leaving tonight son needs to get back to state college pa"
"9787","over two hours on hold to talk to an agentthen it disconnects mebeen trying for two days wtf hire some csrs u makenow"
"9788","so you dont have a pilot now for ✈ for at least another hour why on earth would you board the plane makes no sense"
"9789","flightplease get us a flight plan already how is this an issue in st century"
"9790","when the inbound flight arrives after the scheduled outbound departure and still on time"
"9791","thanks for three cancelled flightled flight and making us go from raleigh to charlote to lexington to philly istead of raleigh to philly"
"9792","rant cont to top it all off rescheduled flight to tpa atis already delayed how can they be that bad"
"9793","can you advise on whats happening with departure delays from clt"
"9794","can you provide me with info about checking strollers and car seatscostsrestrictionsneed to bringseatsstroller"
"9795","delay and mechanical issues on both my weekend flights ridiculous will tweet as long as we are delayed"
"9796","another great flightthanks for showing my dad wonderful customer service"
"9797","what is happening have been sitting in philly for hours pls take care of flight to chicago at least least us know flight"
"9798","can you pm me w answer if flt to is still on time been on ground over an hr w no gate need help pls"
